role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
producer,movie,Killing Hasselhoff,2017,[u'80'],[u'Comedy'],A struggling nightclub owner resorts to desperate measures in order to pay off a loan shark.,4.3,837,"{1: 105, 2: 73, 3: 92, 4: 145, 5: 152, 6: 112, 7: 60, 8: 35, 9: 16, 10: 47}","{u'aged 45+': (104, 4.4), u'aged 30-44': (398, 4.3), u'females': (54, 4.1), u'females aged 30-44': (28, 4.2), 'all votes': (837, 4.3), u'females aged 45+': (8, 2.8), u'males': (621, 4.3), u'males aged 18-29': (133, 4.4), u'aged 18-29': (147, 4.4), u'males aged 30-44': (362, 4.3), u'non-us users': (448, 4.2), u'females aged 18-29': (12, 4.5), u'us users': (93, 4.3), u'top 1000 voters': (39, 3.6), u'males aged 45+': (90, 4.5)}","[u'Australia:MA15+', u'Germany:16', u'Singapore:M18', u'USA:R::(certificate #50295)']",,"Rated R for language and strong sexual references throughout, some nudity, drug use and violence",,,
producer,tv series,Hoff the Record,2015,,[u'Comedy'],30 years after rising to fame with Knight Rider and Baywatch the series follows The Hoff as he moves to the UK to get his career back on track and make sense of his increasingly surreal life.,6.9,252,"{1: 11, 2: 8, 3: 2, 4: 9, 5: 8, 6: 26, 7: 52, 8: 58, 9: 19, 10: 59}","{u'aged 45+': (37, 7.2), u'aged 30-44': (111, 6.7), u'females': (28, 6.4), u'females aged 30-44': (12, 6.7), 'all votes': (252, 6.9), u'females aged 45+': (5, 7.1), u'males': (162, 6.8), u'males aged 18-29': (26, 6.8), u'aged 18-29': (34, 6.3), u'males aged 30-44': (98, 6.6), u'non-us users': (131, 6.8), u'females aged 18-29': (8, 4.7), u'us users': (22, 5.5), u'top 1000 voters': (10, 5.0), u'males aged 45+': (30, 7.0)}",,,,[u'Color'],,
producer,tv movie,Last Night a DJ Saved My Life,2016,[u'UK:90'],[u'Musical'],David Hasselhoff (Baywatch) is a die-hard thrill-seeker and Ibiza's top 80's DJ. Clueless to the fact that a new decade has dawned - disco is out...,7.0,6,"{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 4}","{u'males aged 30-44': (1, 10.0), 'all votes': (6, 7.0), u'males': (3, 7.0), u'males aged 18-29': (2, 5.5), u'aged 18-29': (2, 5.5), u'aged 30-44': (1, 10.0), u'non-us users': (1, 10.0)}",[u'USA:TV-PG'],,,[u'Color'],,
producer,tv series,The Hasselhoffs,2010,[u'USA:30'],[u'Reality-TV'],,2.4,58,"{1: 41, 2: 5, 3: 1, 4: 0, 5: 3, 6: 1, 7: 1, 8: 1, 9: 1, 10: 4}","{u'aged 45+': (8, 1.3), u'aged 30-44': (25, 1.7), u'females': (12, 1.9), u'females aged 30-44': (3, 2.3), 'all votes': (58, 2.4), u'females aged 45+': (3, 2.3), u'males': (37, 1.6), u'males aged 18-29': (11, 1.7), u'aged 18-29': (16, 1.7), u'males aged 30-44': (20, 1.8), u'non-us users': (20, 2.1), u'females aged 18-29': (5, 1.8), u'us users': (27, 1.5), u'top 1000 voters': (3, 1.3), u'males aged 45+': (5, 1.2)}",[u'USA:TV-PG'],,,[u'Color'],,
producer,tv movie,Baywatch: Hawaiian Wedding,2003,[u'100'],"[u'Action', u'Drama', u'Adventure']",Mitch Buchannon didn't die in a boat explosion in the 10th season but has been recovering from amnesia in Los Angeles...,4.1,1767,"{1: 310, 2: 210, 3: 233, 4: 248, 5: 190, 6: 153, 7: 98, 8: 60, 9: 38, 10: 227}","{u'aged 45+': (167, 4.2), u'aged 30-44': (877, 3.9), u'females': (260, 4.8), u'females aged 30-44': (128, 4.1), 'all votes': (1767, 4.1), u'females aged 45+': (20, 4.5), u'males': (1203, 4.0), u'males aged 18-29': (289, 4.4), u'aged 18-29': (392, 4.7), u'males aged 30-44': (743, 3.8), u'non-us users': (1086, 3.8), u'females aged 18-29': (100, 5.8), u'us users': (220, 5.2), u'top 1000 voters': (82, 3.9), u'males aged 45+': (145, 4.2)}","[u'Australia:PG', u'Germany:12', u'Iceland:12', u'Singapore:NC-16', u'UK:12', u'USA:TV-14']",,,[u'Color'],,
producer,tv series,Baywatch,1989,[u'60::(241 episodes)'],"[u'Action', u'Drama']",A cadre of attractive lifeguards patrol a crowded recreational beach.,5.2,20721,"{1: 1815, 2: 1199, 3: 1559, 4: 2262, 5: 3717, 6: 3542, 7: 2485, 8: 1383, 9: 579, 10: 2180}","{u'aged 45+': (2124, 4.3), u'imdb staff': (2, 3.0), u'aged 30-44': (10570, 5.2), u'females': (4228, 5.1), u'females aged 30-44': (2200, 5.0), 'all votes': (20721, 5.2), u'females aged 45+': (442, 4.1), u'males': (13644, 5.2), u'aged 18-29': (4844, 5.6), u'males under 18': (8, 9.3), u'males aged 18-29': (3345, 5.6), u'males aged 30-44': (8261, 5.2), u'non-us users': (11916, 5.2), u'females aged 18-29': (1448, 5.5), u'us users': (3200, 4.8), u'aged under 18': (8, 9.3), u'top 1000 voters': (307, 4.5), u'males aged 45+': (1648, 4.4)}","[u'Argentina:13', u'Australia:PG::(some episodes)', u'Australia:M::(some episodes)', u'Canada:G::(Quebec)', u'Germany:12', u'Netherlands:6', u'New Zealand:M', u'Norway:11::(2008) (DVD rating)', u'USA:TV-PG']",,,[u'Color'],,
producer,video movie,Baywatch: White Thunder at Glacier Bay,1998,[u'107'],"[u'Action', u'Adventure']","In this wrap-up to the 1997-98 season of Baywatch, L.A. lifeguards Mitch, Cody, and Mitch's son Hobie...",5.2,178,"{1: 26, 2: 13, 3: 11, 4: 24, 5: 18, 6: 16, 7: 14, 8: 9, 9: 2, 10: 45}","{u'aged 45+': (18, 5.2), u'aged 30-44': (83, 4.6), u'females': (25, 5.7), u'females aged 30-44': (16, 5.4), 'all votes': (178, 5.2), u'females aged 45+': (4, 6.0), u'males': (106, 5.2), u'males aged 18-29': (23, 7.0), u'aged 18-29': (26, 6.8), u'males aged 30-44': (65, 4.5), u'non-us users': (79, 4.7), u'females aged 18-29': (3, 6.0), u'us users': (38, 5.4), u'top 1000 voters': (15, 4.9), u'males aged 45+': (14, 5.4)}",[u'USA:PG'],,"Rated PG for violence, and for some sensuality and language",[u'Color'],,
producer,tv series,Baywatch Nights,1995,[u'60::(44 episodes)'],"[u'Action', u'Drama']","In this Baywatch spin-off, Mitch Buchannon, the reliable Los Angeles lifeguard, moonlights as a private detective who investigates and solves crimes...",3.9,1041,"{1: 223, 2: 116, 3: 144, 4: 145, 5: 112, 6: 71, 7: 43, 8: 30, 9: 23, 10: 134}","{u'aged 45+': (139, 3.6), u'aged 30-44': (584, 3.6), u'females': (155, 4.3), u'females aged 30-44': (85, 4.0), 'all votes': (1041, 3.9), u'females aged 45+': (30, 4.4), u'males': (738, 3.7), u'males aged 18-29': (112, 4.9), u'aged 18-29': (150, 4.9), u'males aged 30-44': (496, 3.6), u'non-us users': (570, 3.6), u'females aged 18-29': (36, 4.8), u'us users': (220, 4.0), u'top 1000 voters': (64, 3.4), u'males aged 45+': (106, 3.4)}","[u'Australia:M', u'USA:TV-PG']",,,[u'Color'],,
producer,video movie,Baywatch: Forbidden Paradise,1995,"[u'UK:94', u'USA:90']","[u'Action', u'Drama']","Baywatch lifeguards Mitch, C.J., Stephanie, Caroline, Matt and Logan travel to Ohau, Hawaii for a much...",5.0,437,"{1: 68, 2: 21, 3: 36, 4: 46, 5: 63, 6: 33, 7: 27, 8: 23, 9: 11, 10: 109}","{u'aged 45+': (43, 4.8), u'aged 30-44': (163, 4.6), u'females': (46, 6.2), u'females aged 30-44': (23, 6.3), 'all votes': (437, 5.0), u'females aged 45+': (7, 2.7), u'males': (224, 4.7), u'males aged 18-29': (46, 5.5), u'aged 18-29': (59, 5.9), u'males aged 30-44': (138, 4.3), u'non-us users': (162, 4.7), u'females aged 18-29': (13, 7.2), u'us users': (74, 4.9), u'top 1000 voters': (33, 4.1), u'males aged 45+': (36, 5.1)}","[u'Australia:PG', u'USA:PG']",,"Rated PG for sensuality, mild action and language",[u'Color'],,
producer,video movie,David Hasselhoff Live & Forever,1990,[u'Germany:105'],[u'Music'],,6.5,13,"{1: 3, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 7}","{u'males aged 30-44': (6, 5.4), u'females': (1, 10.0), u'females aged 30-44': (1, 10.0), 'all votes': (13, 6.5), u'males': (12, 6.0), u'males aged 18-29': (4, 5.8), u'aged 18-29': (4, 5.8), u'aged 30-44': (7, 5.5), u'non-us users': (8, 5.7), u'aged 45+': (2, 8.0), u'us users': (4, 6.8), u'top 1000 voters': (2, 8.0), u'males aged 45+': (2, 8.0)}",,,,[u'Color'],,
